refund_id,transaction_id,merchant_id,refund_amount,currency,refund_amount_cad,refund_type,refund_reason,created_at,status,same_day_refund
REF0000001,TXN00002661,M008,22.59,CAD,22.59,full,product_not_received,2024-02-07 10:57:00,completed,False
REF0000002,TXN00030963,M006,38.65,CAD,38.65,partial,customer_request,2024-10-20 23:40:00,completed,False
REF0000003,TXN00037795,M003,326.86,CAD,326.86,full,fraud,2024-08-18 15:21:00,completed,False
REF0000004,TXN00021330,M009,53.24,CAD,53.24,partial,duplicate,2024-04-04 01:25:00,completed,True
REF0000005,TXN00037287,M006,1.27,USD,1.73,partial,fraud,2024-11-19 13:53:00,completed,False
REF0000006,TXN00044476,M009,21.71,CAD,21.71,full,duplicate,2024-04-02 20:37:00,completed,False
REF0000007,TXN00037493,M003,22.16,CAD,22.16,partial,customer_request,2024-08-04 08:08:00,completed,False
REF0000008,TXN00001558,M008,9.49,CAD,9.49,full,fraud,2024-10-17 18:04:00,completed,False
REF0000009,TXN00023984,M001,4.39,CAD,4.39,partial,duplicate,2024-08-19 22:57:00,completed,False
REF0000010,TXN00019643,M004,20.4,CAD,20.4,full,other,2024-06-02 04:53:00,completed,False
REF0000011,TXN00026962,M008,17.7,CAD,17.7,full,duplicate,2024-05-05 12:40:00,completed,False
REF0000012,TXN00023794,M003,22.58,CAD,22.58,full,other,2024-03-23 13:18:00,failed,False
REF0000013,TXN00019059,M006,10.0,USD,13.6,full,fraud,2025-01-05 07:24:00,completed,False
REF0000014,TXN00025545,M004,50.65,EUR,74.96,partial,product_not_received,2024-12-27 16:13:00,completed,False
REF0000015,TXN00014718,M006,48.02,CAD,48.02,partial,product_not_received,2024-09-16 12:03:00,completed,False
REF0000016,TXN00045926,M006,12.38,USD,16.84,partial,other,2024-08-16 09:36:00,completed,False
REF0000017,TXN00000626,M009,31.94,USD,43.44,full,other,2024-04-12 06:11:00,completed,False
REF0000018,TXN00012090,M001,329.0,CAD,329.0,partial,other,2024-02-21 11:01:00,completed,False
REF0000019,TXN00008516,M009,8.24,USD,11.21,partial,customer_request,2024-03-12 01:39:00,completed,False
REF0000020,TXN00030023,M003,16.31,CAD,16.31,full,duplicate,2024-06-09 09:22:00,completed,False
REF0000021,TXN00032522,M008,26.89,EUR,39.8,full,other,2024-11-17 13:10:00,completed,False
REF0000022,TXN00017981,M005,291.8,CAD,291.8,full,duplicate,2024-03-16 01:53:00,completed,False
REF0000023,TXN00033920,M006,381.08,USD,518.27,full,customer_request,2024-08-30 19:20:00,completed,False
REF0000024,TXN00027967,M004,23.15,CAD,23.15,full,other,2024-11-04 10:52:00,completed,False
REF0000025,TXN00045323,M008,46.99,CAD,46.99,full,fraud,2024-05-13 23:31:00,completed,False
REF0000026,TXN00040123,M006,645.71,CAD,645.71,partial,customer_request,2024-06-01 02:26:00,failed,False
REF0000027,TXN00016609,M006,10.3,CAD,10.3,partial,customer_request,2024-09-18 10:41:00,completed,False
REF0000028,TXN00012485,M001,104.58,USD,142.23,full,duplicate,2024-06-11 12:57:00,completed,False
REF0000029,TXN00043895,M009,113.46,USD,154.31,partial,customer_request,2025-01-26 02:46:00,completed,False
REF0000030,TXN00008024,M008,6.4,CAD,6.4,partial,product_not_received,2024-08-04 23:36:00,completed,False
REF0000031,TXN00009276,M008,106.8,CAD,106.8,partial,duplicate,2024-04-20 16:34:00,completed,False
REF0000032,TXN00014772,M003,77.77,CAD,77.77,full,duplicate,2024-11-19 21:01:00,completed,False
REF0000033,TXN00005119,M010,16.05,USD,21.83,full,product_not_received,2024-11-30 10:13:00,completed,False
REF0000034,TXN00006446,M003,15.77,CAD,15.77,full,other,2024-04-29 18:11:00,completed,False
REF0000035,TXN00023229,M008,38.53,EUR,57.02,full,customer_request,2024-12-01 10:27:00,completed,True
REF0000036,TXN00009726,M009,415.49,CAD,415.49,full,customer_request,2024-05-06 04:12:00,completed,False
REF0000037,TXN00010948,M009,25.86,USD,35.17,partial,duplicate,2024-04-17 00:07:00,completed,False
REF0000038,TXN00021751,M010,35.52,CAD,35.52,partial,product_not_received,2024-09-05 14:35:00,pending,False
REF0000039,TXN00038560,M006,131.15,CAD,131.15,full,fraud,2024-11-25 15:51:00,completed,False
REF0000040,TXN00046050,M004,46.05,EUR,68.15,partial,product_not_received,2024-08-14 02:37:00,completed,False
REF0000041,TXN00004039,M004,81.14,USD,110.35,full,product_not_received,2024-05-19 15:34:00,completed,False
REF0000042,TXN00028322,M002,40.12,CAD,40.12,full,duplicate,2024-10-23 08:12:00,completed,True
REF0000043,TXN00016188,M008,21.65,CAD,21.65,partial,duplicate,2024-05-27 01:34:00,completed,True
REF0000044,TXN00000974,M008,14.52,USD,19.75,full,other,2024-07-28 01:35:00,completed,True
